Question,Option A,Option B,Option C,Option D,Correct Answer
"What is the primary goal of verification in digital design?","a) Reduce power consumption","b) Ensure correctness of the design","c) Improve chip yield","d) Minimize fabrication cost",b
"Which of the following is a key principle of object-oriented programming?","a) Timing analysis","b) Modularity","c) Sequential logic","d) RTL synthesis",b
"In SystemVerilog, a class is used to define:","a) Hardware components","b) Testbenches and verification objects","c) Gate-level circuits","d) Clock domains",b
"Which concept allows different classes to share behavior in OOP?","a) Polymorphism","b) Multiplexing","c) Overclocking","d) Elaboration",a
"The process of checking if the design meets the specification is called:","a) Simulation","b) Verification","c) Synthesis","d) Compilation",b
"Which SystemVerilog construct supports encapsulation of data and functions?","a) Module","b) Interface","c) Class","d) Task",c
"What is the benefit of inheritance in SystemVerilog classes?","a) Reduces memory usage","b) Improves timing closure","c) Promotes code reuse","d) Helps RTL synthesis",c
"In object-oriented verification, a testbench component that generates stimulus is called:","a) Driver","b) Monitor","c) Sequencer","d) Generator",d
"Which of the following best defines 'randomization' in verification?","a) Using test vectors with fixed values","b) Applying random stimuli to check different scenarios","c) Running the simulation in reverse","d) Shuffling modules in the design",b
"A virtual interface in SystemVerilog is primarily used to:","a) Instantiate hardware components","b) Access design signals in classes","c) Create physical connections","d) Convert signals from analog to digital",b
"What is the primary output of the logic synthesis stage?","a) GDSII file","b) Netlist","c) RTL code","d) Physical layout",b
"Which file format contains technology-specific timing and power data for standard cells?","a) LEF","b) .lib","c) DEF","d) SDC",b
"What does SDC stand for in the context of ASIC design?","a) Standard Design Constraints","b) Synthesis Data Configuration","c) Static Delay Calculation","d) System Design Clock",a
"Which phase follows RTL verification in the ASIC flow?","a) Physical synthesis","b) Logic synthesis","c) Bring-up","d) Tapeout",b
"What is the purpose of the 'elaborate' step in logic synthesis?","a) Apply timing constraints","b) Generate a technology-mapped netlist","c) Create a dataflow graph and optimize HDL","d) Read HDL files",c
"Which optimization technique merges two arithmetic modules into one if they aren’t used simultaneously?","a) Retiming","b) Resource sharing","c) Constant propagation","d) Logic pruning",b
"What is the main goal of 'mapped synthesis'?","a) Convert RTL to generic gates","b) Optimize for area while meeting timing constraints","c) Insert test structures","d) Generate clock trees",b
"Which three design rule constraints must be satisfied during synthesis?","a) Max transition, fanout, and capacitance","b) Min delay, skew, and jitter","c) Power, area, and speed","d) Setup, hold, and recovery",a
"What does 'clock latency' refer to?","a) Jitter in the clock signal","b) Delay from clock source to endpoint","c) Uncertainty in clock edges","d) Mismatch between clock periods",b
"Which command sets the clock period to 10 ns in SDC?","a) `set_clock_period 10`","b) `create_clock -period 10`","c) `set_clock_latency 10`","d) `set_clock_uncertainty 10`",b
"What is the purpose of `set_input_delay`?","a) Define propagation delay for input ports","b) Specify time data arrives relative to a clock edge","c) Set transition time for input signals","d) Configure input driver strength",b
"Which analysis checks if data arrives too late at a flip-flop?","a) Hold time","b) Setup time","c) Recovery time","d) Jitter analysis",b
"In worst-case operating conditions, which combination is used?","a) Fast process, low temperature, high voltage","b) Slow process, high temperature, low voltage","c) Typical process, room temperature, nominal voltage","d) Fast process, high temperature, low voltage",b
"Which file describes physical geometry and routing rules for cells?","a) .lib","b) LEF","c) DEF","d) SPEF",b
"What does SPEF contain?","a) Parasitic resistance and capacitance data","b) Clock constraints","c) Gate-level netlist","d) Power dissipation values",a
"What is the primary purpose of MMMC in physical synthesis?","a) Optimize power consumption","b) Analyze timing across multiple corners and modes","c) Generate test patterns","d) Insert filler cells",b
"Which step ensures clock signals reach all flip-flops with minimal skew?","a) Placement","b) Routing","c) Clock Tree Synthesis (CTS)","d) Floorplanning",c
"Dynamic power dissipation is primarily caused by:","a) Leakage currents","b) Charging/discharging capacitances","c) Short-circuit currents","d) Temperature variations",b
"Which factor does *not* affect leakage power?","a) Input slew rate","b) Transistor threshold voltage","c) Temperature","d) Process variations",a
"What is the role of `set_ideal_net`?","a) Exclude a net from timing analysis","b) Optimize a net for minimal delay","c) Mark a net as non-critical for DRC","d) Assign a fixed voltage level",c
"Which command reports transition violations in synthesis?","a) `report_timing`","b) `report_constraints`","c) `report_design_rules`","d) `report_power`",c
"In hold time analysis, which corner is typically used?","a) Slow process, high voltage","b) Fast process, low voltage","c) Typical process, nominal voltage","d) Slow process, low temperature",b
"What does 'negative slack' indicate in timing reports?","a) Timing requirements are met","b) Data arrives earlier than required","c) Data arrives later than required","d) Clock period is too long",c
"Which file format is used for post-layout gate-level simulations?","a) VCD","b) LEF","c) SDC","d) GDSII",a
"What is the final step before tapeout?","a) Logic synthesis","b) Physical verification","c) RTL coding","d) Power planning",b
"Which parameter is *not* part of PVT analysis?","a) Process","b) Voltage","c) Temperature","d) Jitter",d
"Which tool is commonly used for physical synthesis?","a) Genus","b) Innovus","c) Design Compiler","d) Primetime",b
"What is the primary purpose of a CapTable file?","a) Define metal layer capacitances","b) Store clock constraints","c) Describe cell geometries","d) Optimize power consumption",a
"Which phase defines the chip's core and I/O regions?","a) Floorplanning","b) Placement","c) Routing","d) CTS",a
"What does 'DFM' stand for?","a) Design for Manufacturing","b) Digital Floorplanning Method","c) Delay Fault Modeling","d) Dynamic Frequency Modulation",a
"Which command sets a load capacitance on an output port?","a) `set_load`","b) `set_driving_cell`","c) `set_max_capacitance`","d) `set_fanout_load`",a
"Which factor increases cell delay?","a) Lower output capacitance","b) Faster input transition","c) Higher supply voltage","d) Slower input transition",d
"What is 'IR drop' related to?","a) Clock skew","b) Power grid resistance","c) Hold violations","d) Leakage power",b
"Which analysis view combines slow library and worst RC corner?","a) Setup analysis","b) Hold analysis","c) Best-case corner","d) Typical corner",a
"What is the purpose of filler cells in physical design?","a) Improve timing","b) Reduce power noise","c) Fill empty spaces between standard cells","d) Connect power rails",c
"Which step ensures minimal DRC violations post-routing?","a) Global routing","b) Detailed routing","c) Trial routing","d) Clock routing",b
